what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728574313
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1495728615152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495728629416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495728630261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495728649128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495728649853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495728651447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495728654593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728655262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728712714
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495728715079
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1495728715141
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728715472
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1495728716742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728717032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728727114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728767615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728777257
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728778624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728798943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729025919
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495729026895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729128940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729356413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729408194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729418252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1495729432317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495729433234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495729437010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495729437553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495729444123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495729445983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1495729476317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1495729476533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495729477475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1495729508401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495729509384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729510985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729523274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495729524915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729525346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729559210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729562257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729587875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495729638544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730006965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730066325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730148743
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495730148844
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495730150144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730153093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730153708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730180926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730182484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730229966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730239252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730239966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730308266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730619698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730653050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730655139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730695042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730699475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730703907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730727242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730727774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730754354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730758361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730762291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495730763210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730764295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730771577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730786553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730788816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495730789680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730795127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730806639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730810249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730845568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1495730846960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1495730854928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495730859247
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1495730866942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730867213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495730869238
